No.,Name,State,SN,Adress,Phone,Website,Located,Function
13,Eminence Grain & Coal CO,illinois,IL,"Atlanta, Illinois 61723",1-217-648-2541,emgrain.com,Located in Logan County,Grain Elevators
14,Farmers Grain Company Of Latham,illinois,IL,"Latham, Illinois 62543",1-217-674-3546,www.farmersgrainlatham.com,Located in Logan County,Grain Elevators
15,Farmers Grain Service Inc,illinois,IL,"Grand Ridge, Illinois 61325",1-815-249-5515,farmersgrainservice.com,Located in La Salle County,Grain Elevators
16,Geneva Construction Co,illinois,IL,"Aurora, Illinois 60505",1-630-892-4357,genevaconstruction.net,Located in Kane County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
17,Goodwine Cooperative Grain Company,illinois,IL,"Milford, Illinois 60953",1-815-889-4422,www.goodwinecoop.com,Located in Iroquois County,Grain Elevators
18,Goodwine Cooperative Grain Company,illinois,IL,"Goodwine, Illinois 60939",1-815-457-2880,goodwinecoop.com,Located in Iroquois County,Grain Elevators
19,Grainland Cooperative,illinois,IL,"Eureka, Illinois 61530",1-309-467-2355,www.grainlandcooperative.com,Located in Woodford County,Grain Elevators
20,Grainland Elevator,illinois,IL,"Secor, Illinois 61771",1-309-744-2218,grainlandcooperative.com,Located in Woodford County,Grain Elevators
21,Grand Prairie Cooperative Inc,illinois,IL,"Ivesdale, Illinois 61851",1-217-564-2317,unitedprairiellc.com,Located in Champaign County,Grain Elevators
22,Graymont Cooperative Association Grain ELEV,illinois,IL,"Graymont, Illinois 61743",1-815-743-5321,graymontcoop.com,Located in Livingston County,"Grain Elevators, Home Improvement and Maintenance, Home Improvement Stores"
23,Hartsburg Grain Company,illinois,IL,"Hartsburg, Illinois 62643",1-217-642-5211,hartgrain.com,Located in Logan County,Grain Elevators
24,Heartland Construction,illinois,IL,"Chicago, Illinois 60642",1-312-492-6500,thcgi.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators, Home Builders and Developers"
25,Hometeam Group Inc,illinois,IL,"La Grange, Illinois 60525",1-708-352-6400,hometeamgroupco.com,Located in Cook County,"Building Contractors, Building Remodeling and Repair Contractors, Construction Companies, Grain Elevators"
26,Hudson Grain Co,illinois,IL,"Hudson, Illinois 61748",1-309-726-1671,www.hudsongrain.com,Located in McLean County,Grain Elevators
27,I D Construction,illinois,IL,"Crystal Lake, Illinois 60014",1-815-444-8058,www.bestchicagosiding.com,Located in McHenry County,"Building Contractors, Construction Companies, Grain Elevators"
28,Jayco Construction,illinois,IL,"Springfield, Illinois 62707",1-217-522-8621,jaycoconstruction.net/,Located in Sangamon County,"Building Contractors, Construction Companies, Excavation Contractors, Grain Elevators, Wrecking and Demolition Contractors"
29,Jersey County Grain Company,illinois,IL,"Hardin, Illinois 62047",1-618-576-2519,www.jerseycountygrain.com,Located in Calhoun County,Grain Elevators
30,K T Richards Construction,illinois,IL,"Homer Glen, Illinois 60491",1-708-966-2152,ktrichards.com,Located in Will County,"Building Contractors, Carpenters, Construction Companies, Grain Elevators"
31,Kitchen Seed Co Inc,illinois,IL,"Pittsfield, Illinois 62363",1-217-285-9659,www.kitchenseed.com,Located in Pike County,Grain Elevators
32,Koehl Brothers Inc,illinois,IL,"Fairbury, Illinois 61739",1-815-692-2326,koehlbros.com,Located in Livingston County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Elevators"
33,Legend Exterior & Construction,illinois,IL,"Roselle, Illinois 60172",1-630-351-0656,www.legendexteriors.com,Located in DuPage County,"Building Contractors, Construction Companies, Grain Elevators, Roofing Contractors"
34,Lincolnland Agri-Energy,illinois,IL,"Palestine, Illinois 62451",1-618-586-2321,www.lincolnlandagrienergy.com,Located in Crawford County,Grain Elevators
35,Lumber 1 Construction,illinois,IL,"Chicago, Illinois 60618",1-773-290-1111,www.lumber1construction.com,Located in Cook County,"Building Contractors, Construction Companies, Grain Elevators"
36,Midwest Ingredients Inc,illinois,IL,"Princeville, Illinois 61559",1-309-385-1035,midwestingredients.com,Located in Peoria County,Grain Elevators
37,Monica Elevator CO,illinois,IL,"Princeville, Illinois 61559",1-309-385-4938,www.monicaelevator.com,Located in Peoria County,Grain Elevators
38,Northern Grain Marketing,illinois,IL,"Ohio, Illinois 61349",1-815-376-2411,www.northerngrainmarketing.com,Located in Bureau County,Grain Elevators
39,P&K Quality Construction,illinois,IL,"Pana, Illinois 62557",1-217-820-2224,www.pkqualityconstruction.com/,Located in Christian County,"Building Contractors, Construction Companies, Deck Construction and Maintenance Commercial and Industrial, Garage Builders, Grain Elevators, Patio, Porch, Deck and Gazebo Builders"
40,Path Construction Co Inc,illinois,IL,"Arlington Heights, Illinois 60005",1-847-342-1188,pathcc.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Government Contractors, Grain Elevators, Home Builders and Developers"
41,Prentice Farmers Elevator,illinois,IL,"Ashland, Illinois 62612",1-217-476-3516,www.prenticeelevator.com,Located in Cass County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
42,"R.A. James Construction, Inc.",illinois,IL,"Berwyn, Illinois 60402",1-708-788-3033,rajames.com,Located in Cook County,"Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators"
43,Reyes Group Limited,illinois,IL,"Markham, Illinois 60428",1-708-596-7100,www.reyesgroup.com,Located in Cook County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
44,Roanoke Farmers Association,illinois,IL,"Roanoke, Illinois 61561",1-309-923-3841,www.roanokefarmers.com,Located in Woodford County,Grain Elevators
45,Robert P Johnson Grain Company,illinois,IL,"Waverly, Illinois 62692",1-217-435-2361,johnsongrain.com,Located in Morgan County,Grain Elevators
46,Rock River Lumber & Grain Company,illinois,IL,"Prophetstown, Illinois 61277",1-815-537-5615,rockriverag.com,Located in Whiteside County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Home Improvement and Maintenance, Home Improvement Stores, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
47,Shore Sales CO Inc,illinois,IL,"Rantoul, Illinois 61866",1-217-892-2544,www.moisturetesters.com,Located in Champaign County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
48,Siemer Milling Company,illinois,IL,"Teutopolis, Illinois 62467",1-217-857-3131,siemermilling.com,Located in Effingham County,Grain Elevators
49,Stanford Grain Company,illinois,IL,"Stanford, Illinois 61774",1-309-379-2141,www.stanfordgrain.com,Located in McLean County,Grain Elevators
50,Top Ag Cooperative,illinois,IL,"Pierron, Illinois 62273",1-618-654-9804,www.topag.net,,Grain Elevators
51,Top Flight Grain,illinois,IL,"Monticello, Illinois 61856",1-217-762-2163,topflightgrain.com,Located in Piatt County,Grain Elevators
52,Tremont Cooperative Grain Company,illinois,IL,"Tremont, Illinois 61568",1-309-925-4981,tremont.coop,Located in Tazewell County,Grain Elevators
53,Tri Central Cooperative - Main Ofc,illinois,IL,"Ashkum, Illinois 60911",1-815-698-2327,www.tricentralcoop.com,Located in Iroquois County,Grain Elevators
54,Twomey Company,illinois,IL,"Smithshire, Illinois 61478",1-309-325-7100,www.twomeyco.com,Located in Warren County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
55,Union Iron Works Inc,illinois,IL,"Decatur, Illinois 62521",1-217-429-5148,unionironworks.com,Located in Macon County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Industrial Equipment and Supplies Dealers, Industrial Equipment and Supplies Wholesale and Manufacturers"
56,US NATIONAL CONSTRUCTION,illinois,IL,"Chicago, Illinois 60623",1-312-724-6002,www.usnationalconstruction.com,Located in Cook County,"Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators"
57,Wesemann Feeds,illinois,IL,"Genoa, Illinois 60135",1-815-784-5054,www.wesemannfeeds.com,Located in DeKalb County,Grain Elevators
58,Bazooka-Farmstar Inc,iowa,IA,"Washington, Iowa 52353",1-319-653-5080,www.bazookafarmstar.com,Located in Washington County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
59,Buckingham Co-Operative Company,iowa,IA,"Buckingham, Iowa 50612",1-319-478-2331,buckingham.coop,Located in Tama County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
60,Clinton Feed & Grain,iowa,IA,"Clinton, Iowa 52732",1-563-242-3350,www.clintonfeed.com,Located in Clinton County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
61,Dandea Enterprises Inc,iowa,IA,"Coggon, Iowa 52218",1-319-435-2265,www.dandea.com,Located in Linn County,"Grain Elevators, Metal Fabricators, Metal Products Wholesale and Manufacturers, Metal Products, Metals, Moving and Storage Equipment and Supplies Retail, Moving and Storage, Sheet Metal Equipment and Supplies Wholesale and Manufacturers"
62,Dunkerton Cooperative,iowa,IA,"Dunkerton, Iowa 50626",1-319-822-4201,www.dunkertoncoop.com,Located in Black Hawk County,"Fuels Retail, Grain Elevators, Propane and Natural Gas"
63,East Central Iowa Cooperative,iowa,IA,"Cedar Falls, Iowa 50613",1-319-266-0775,www.ecicoop.com,Located in Black Hawk County,Grain Elevators
64,East Central Iowa Cooperative,iowa,IA,"Jesup, Iowa 50648",1-319-827-6226,ecicoop.com,Located in Buchanan County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Home Improvement and Maintenance, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail, Pest Control Equipment and Supplies Retail, Pest Control Services, Pesticides"
65,Farmers Cooperative,iowa,IA,"Radcliffe, Iowa 50230",1-515-899-2101,www.radcliffecoop.com,Located in Hardin County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
66,Farmers Elevator & Exchange,iowa,IA,"Wapello, Iowa 52653",1-319-523-5351,farmerseande.com,Located in Louisa County,Grain Elevators
67,Gold Eagle Cooperative,iowa,IA,"Wesley, Iowa 50483",1-515-679-4272,www.goldeaglecoop.com,Located in Kossuth County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
68,Gold Eagle Cooperative,iowa,IA,"Eagle Grove, Iowa 50533",1-515-448-4775,www.goldeaglecoop.com,Located in Wright County,Grain Elevators
69,Gold Eagle Cooperative,iowa,IA,"Livermore, Iowa 50558",1-515-379-1843,goldeaglecoop.com,Located in Humboldt County,Grain Elevators
70,Gold-Eagle Cooperative,iowa,IA,"Goldfield, Iowa 50542",1-515-825-3161,goldeaglecoop.com,Located in Wright County,Grain Elevators
71,Heartland Cooperative,iowa,IA,"West Des Moines, Iowa 50266",1-515-225-1334,www.heartlandcoop.com,Located in Polk County,Grain Elevators
72,JUHL Feed Store,iowa,IA,"Dana, Iowa 50064",1-515-738-5121,www.juhlfeed.com,Located in Greene County,"Agricultural Equipment and Supplies Retail, Chemicals Dealers, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
73,Liquid Grow Tri Oak,iowa,IA,"Morning Sun, Iowa 52640",1-319-868-7931,www.trioak.com,Located in Louisa County,"Farm Equipment and Supplies Dealers, Grain Elevators"
74,North Central Cooperative,iowa,IA,"Clarion, Iowa 50525",1-515-532-2881,nccoop.com,Located in Wright County,Grain Elevators
75,Professional Cooperative,iowa,IA,"Manson, Iowa 50563",1-712-469-3388,procooperative.com,Located in Calhoun County,Grain Elevators
76,Pruess Elevator Inc,iowa,IA,"Lowden, Iowa 52255",1-563-944-5580,pruesselevator.com,Located in Cedar County,Grain Elevators
77,Quality AG Service,iowa,IA,"Albia, Iowa 52531",1-641-932-2637,qualityag.com,Located in Monroe County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Garden Centers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Nurseries, Plants Retail"
78,Reiff Grain & Feed Inc,iowa,IA,"Fairfield, Iowa 52556",1-641-472-4136,fairfieldag.com,Located in Jefferson County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
79,Shellsburg Elevator,iowa,IA,"Shellsburg, Iowa 52332",1-319-436-2251,www.shellsburgelevator.com,Located in Benton County,Grain Elevators
80,State Line Cooperative Elevator,iowa,IA,"Fenton, Iowa 50539",1-515-889-2251,www.statelinecoop.com,Located in Kossuth County,Grain Elevators
81,Tama Benton Cooperative Company,iowa,IA,"Dysart, Iowa 52224",1-319-476-3666,www.tamabentoncoop.com,Located in Tama County,Grain Elevators
82,Tri-States Grain Conditioning,iowa,IA,"Spirit Lake, Iowa 51360",1-712-336-0199,www.tsgcinc.com,Located in Dickinson County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Elevator Equipment and Builders, Grain Elevators"
83,Agassiz Valley Grain,minnesota,MN,"Barnesville, Minnesota 56514",1-218-493-4481,www.agassizvalleygrain.com,Located in Clay County,Grain Elevators
84,All American Cooperative,minnesota,MN,"Eyota, Minnesota 55934",1-507-545-2921,www.allamericancoop.com,Located in Olmsted County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
85,All American Cooperative,minnesota,MN,"Stewartville, Minnesota 55976",1-507-533-4222,allamericancoop.com,Located in Olmsted County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
86,All-American Cooperative Viola,minnesota,MN,"Eyota, Minnesota 55934",1-507-876-2263,www.allamericancoop.com,Located in Olmsted County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
87,Bellingham Fertilizer Plant,minnesota,MN,"Bellingham, Minnesota 56212",1-320-568-2216,www.bellinghamfarmerscoop.com,Located in Lac Qui Parle County,Grain Elevators
88,Bird Island Bean Company,minnesota,MN,"Bird Island, Minnesota 55310",1-320-365-3070,www.bibcllc.com,Located in Renville County,Grain Elevators
89,C-W Valley Cooperative,minnesota,MN,"Wolverton, Minnesota 56594",1-218-995-2565,www.cwvalley.com,Located in Wilkin County,Grain Elevators
90,C-W Valley Cooperative - Comstock Elevator,minnesota,MN,"Wolverton, Minnesota 56594",1-218-585-4616,www.cwvalley.com,Located in Wilkin County,Grain Elevators
91,Canby Farmers Grain Company,minnesota,MN,"Canby, Minnesota 56220",1-507-223-7236,www.cfgrain.com,Located in Yellow Medicine County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
92,Dawson Grain Cooperative,minnesota,MN,"Dawson, Minnesota 56232",1-320-769-4730,dawsongrain.com,Located in Lac Qui Parle County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
93,Elbow Lake Cooperative Grain Company,minnesota,MN,"Elbow Lake, Minnesota 56531",1-218-685-5331,www.elbowlakecoopgrain.com,Located in Grant County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
94,Farm Service Elevator,minnesota,MN,"Willmar, Minnesota 56201",1-320-235-8870,willmarpoultry.com,Located in Kandiyohi County,Grain Elevators
95,Farmers Cooperative of Hanska - Main Office - Hanska,minnesota,MN,"Hanska, Minnesota 56041",1-507-439-6244,www.hanskaco.com,Located in Brown County,Grain Elevators
96,Farmers Mill & Elevator Inc,minnesota,MN,"Castle Rock, Minnesota 55010",1-507-645-5648,assurancefeed.com,Located in Dakota County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
97,Forsbergs Inc,minnesota,MN,"Thief River Falls, Minnesota 56701",1-218-681-1927,www.forsbergs.com,Located in Pennington County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators, Importers, Industrial Equipment and Supplies Dealers"
98,Humboldt-St Vincent Elevator,minnesota,MN,"Humboldt, Minnesota 56731",1-218-379-3121,www.humboldtelev.com,Located in Kittson County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
99,K & S Millwrights Inc,minnesota,MN,"Buffalo Lake, Minnesota 55314",1-320-833-2228,www.ksmillwrights.com,Located in Renville County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Bins, Grain Elevator Equipment and Builders, Grain Elevators"
100,Munson Lakes Nutrition,minnesota,MN,"Howard Lake, Minnesota 55349",1-320-543-2561,www.munsonlakes.com,Located in Wright County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
101,Prairie Grain Partners LLC,minnesota,MN,"Clarkfield, Minnesota 56223",1-320-669-7501,prairiegrainpartners.com,Located in Yellow Medicine County,Grain Elevators
102,Prairie Lakes Cooperative Elevator,minnesota,MN,"Glenwood, Minnesota 56334",1-320-634-3028,www.prairielakescoop.com,Located in Pope County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
103,Prinsburg Farmers Cooperative,minnesota,MN,"Prinsburg, Minnesota 56281",1-320-978-8100,www.prccoop.com,Located in Kandiyohi County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Pest Control Equipment and Supplies Retail, Pest Control Services"
104,Profile Industries Inc,minnesota,MN,"Rogers, Minnesota 55374",1-763-428-5858,www.profile-ind.com,Located in Hennepin County,"General Merchandise Wholesale, Grain Elevators"
105,Rapat Corporation,minnesota,MN,"Hawley, Minnesota 56549",1-218-483-3344,rapat.com,Located in Clay County,"Grain Elevators, Industrial Equipment and Supplies Wholesale and Manufacturers, Metals"
106,Red River Grain Company,minnesota,MN,"Breckenridge, Minnesota 56520",1-218-643-3738,www.redrivergrain.com,Located in Wilkin County,Grain Elevators
107,River Region Cooperative - Main Office,minnesota,MN,"Sleepy Eye, Minnesota 56085",1-507-794-3031,www.riverregioncoop.com,Located in Brown County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
108,South Central Grain & Energy,minnesota,MN,"Hector, Minnesota 55342",1-320-848-2273,scgemn.com,Located in Renville County,"Auto Service and Repair, Fuel Oils, Gas Stations, Grain Elevators, Petroleum Oils Retail, Petroleum Products and Equipment"
109,UAS Service Corporation,minnesota,MN,"Hawley, Minnesota 56549",1-218-483-3551,uasservice.com,Located in Clay County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
110,Van AHN & CO Inc,minnesota,MN,"Alexandria, Minnesota 56308",1-320-762-1104,www.vanahnco.com,Located in Douglas County,Grain Elevators
111,Waconia Manufacturing,minnesota,MN,"Waconia, Minnesota 55387",1-952-442-2115,waconiamfg.com,Located in Carver County,"Grain Elevators, Industrial Equipment and Supplies Dealers, Industrial Equipment and Supplies Wholesale and Manufacturers"
112,Western Consolidated Cooperative,minnesota,MN,"Holloway, Minnesota 56249",1-320-394-2171,west-con.com,Located in Swift County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
113,Boyd Grain Inc,indiana,IN,"Washington, Indiana 47501",1-812-254-5599,boydgrain.com,Located in Daviess County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Freight and Cargo Transport, Freight Trucking, Grain Elevators, Trucking Companies"
114,Riley Equipment Inc,indiana,IN,"Vincennes, Indiana 47591",1-812-886-5500,www.rileyequipment.com,Located in Knox County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Supplies Dealers, Grain Elevator Equipment and Builders, Grain Elevators, Industrial Equipment and Supplies Dealers"
115,Agrex Inc,nebraska,NE,"Superior, Nebraska 68978",1-402-879-4702,www.agrexinc.com,Located in Nuckolls County,Grain Elevators
116,Batterton Waterproofing Inc,nebraska,NE,"York, Nebraska 68467",1-402-362-3855,battertonwaterproofing.com,Located in York County,"Builders and Contractors, Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
117,Central Valley AG,nebraska,NE,"Hooper, Nebraska 68031",1-402-654-3367,cvacoop.com,Located in Dodge County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
118,Cooperative Supply,nebraska,NE,"Leigh, Nebraska 68643",1-402-487-2295,coopsupply.com,Located in Colfax County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
119,Cooperative Supply Inc,nebraska,NE,"Dodge, Nebraska 68633",1-402-693-2261,www.coopsupply.com,Located in Dodge County,"Building Materials and Supplies Dealers, Grain Elevators, Saw Sales, Sharpening and Repair"
120,Cooperative Supply Inc,nebraska,NE,"Dodge, Nebraska 68633",1-402-693-2222,www.coopsupply.com,Located in Dodge County,Grain Elevators
121,Country Partners Cooperative,nebraska,NE,"Albion, Nebraska 68620",1-402-395-2139,countrypartnerscoop.com,Located in Boone County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
122,Country Partners Cooperative Company,nebraska,NE,"Primrose, Nebraska 68655",1-308-396-1650,countrypartnerscoop.com,Located in Boone County,Grain Elevators
123,Crossroads Cooperative Association,nebraska,NE,"Sidney, Nebraska 69162",1-308-884-2238,www.crossroadscoop.com,Located in Cheyenne County,Grain Elevators
124,Crossroads Cooperative Association,nebraska,NE,"Sidney, Nebraska 69162",1-308-254-4230,crossroadscoop.com,Located in Cheyenne County,Grain Elevators
125,CTEC Inc,nebraska,NE,"York, Nebraska 68467",1-402-362-5951,ctecconcrete.com,Located in York County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
126,Grain States Soya Inc,nebraska,NE,"West Point, Nebraska 68788",1-402-372-2429,www.soybest.com,Located in Cuming County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
127,J E Meuret Grain Company,nebraska,NE,"Brunswick, Nebraska 68720",1-402-842-2515,jemeuretgrain.com,Located in Antelope County,Grain Elevators
128,Kaapa Ethanol LLC,nebraska,NE,"Minden, Nebraska 68959",1-308-743-2217,kaapaethanol.com,Located in Kearney County,Grain Elevators
129,Kaapa Grains,nebraska,NE,"Elm Creek, Nebraska 68836",1-308-856-4643,kaapagrains.com,Located in Buffalo County,Grain Elevators
130,Midwest Farmers Cooperative,nebraska,NE,"Elmwood, Nebraska 68349",1-402-994-2585,midwestfarmers.coop,Located in Cass County,Grain Elevators
131,Pride Grain,nebraska,NE,"Long Pine, Nebraska 69217",1-402-273-4468,www.pridegrain.com,Located in Brown County,Grain Elevators
132,Shickley Grain CO Inc,nebraska,NE,"Shickley, Nebraska 68436",1-402-627-2425,shickleygrain.com,Located in Fillmore County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
133,Andersons Investment Service,ohio,OH,"Maumee, Ohio 43537",1-419-891-6358,andersonsinc.com,Located in Lucas County,"Financial Services, Grain Elevators, Homes and Residential Real Estate, Housing Consultants, Railroad Car Leasing, Railroads, Real Estate Agencies and Brokerage, Real Estate Consultants"
134,Creamer Metal Products Inc,ohio,OH,"London, Ohio 43140",1-740-852-1752,www.creamermetal.com,Located in Madison County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Exporters, Farm Equipment and Supplies Dealers, Grain Elevator Equipment and Builders, Grain Elevators"
135,Deerfield Farms Service,ohio,OH,"Deerfield, Ohio 44411",1-330-584-4715,deerfieldfarms.com,Located in Portage County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
136,Elgin Service Center,ohio,OH,"Pioneer, Ohio 43554",1-419-485-8593,kbuildings.com,Located in Williams County,"Grain Elevator Equipment and Builders, Grain Elevators"
137,Farmers Elevator Grain & SUPL,ohio,OH,"New Bavaria, Ohio 43548",1-419-653-4132,www.thefarmerselevator.com,Located in Henry County,Grain Elevators
138,Gerald Grain Center,ohio,OH,"Napoleon, Ohio 43545",1-419-598-8015,www.geraldgrain.com,Located in Henry County,Grain Elevators
139,Hicksville Grain Company,ohio,OH,"Hicksville, Ohio 43526",1-419-542-7021,www.hicksvillegrain.com,Located in Defiance County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
140,Jewell Grain Company,ohio,OH,"Defiance, Ohio 43512",1-419-497-2101,jewellgrain.com,Located in Defiance County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
141,Keller Grain & Feed Inc,ohio,OH,"Greenville, Ohio 45331",1-937-448-2284,kellergrain.com,Located in Darke County,Grain Elevators
142,Pandora Grain & Supply,ohio,OH,"Pandora, Ohio 45877",1-419-384-3255,www.pandoragrain.com,Located in Putnam County,Grain Elevators
143,Scott Equity Exchange,ohio,OH,"Scott, Ohio 45886",1-419-622-6151,scottequityexchange.com,Located in Van Wert County,Grain Elevators
144,Bewley ConStruction LLC,missouri,MO,"Nixa, Missouri 65714",1-417-459-3777,bewleyconstruction.com,Located in Christian County,"Building Contractors, Construction Companies, Grain Elevators"
