Name,"Sioux Falls, SD ","Minneapolis, MN ","Fargo, ND ","Council Bluffs, IA ","Toledo, OH ","Grand Island, NE "
Finley Farmers Grain Company,323.62,312.63,81.52,495.78,976.79,568.58
Fordville CO Op Marketing Association,367.37,356.38,125.27,539.53,1020.54,612.33
Gutter Topper OF North Dakota,496.66,485.79,259.81,668.81,1149.94,590.01
Harvey Farmers Elevator,434.18,423.31,192.0,606.33,1087.46,545.72
James Valley Grain,238.29,266.68,113.3,410.45,930.84,412.24
Lorrich Industries Inc,439.07,428.08,196.97,611.23,1092.24,614.0
Maple River Grain & Agronomy,262.12,251.25,25.27,434.28,915.41,507.07
Martin Construction Inc,528.41,517.54,291.56,700.56,1181.7,599.31
Mayport Farmers Cooperative,302.83,291.83,60.72,474.98,955.99,547.78
Powers Lake Elevator Company,579.91,569.01,337.73,752.06,1233.2,691.43
Reynolds United Cooperative,303.0,292.0,60.89,475.15,956.16,547.95
Reynolds United Cooperative,297.64,286.64,55.53,469.79,950.8,542.59
South Central Grain,341.77,374.51,171.58,513.93,1038.66,459.53
Wanzek Construction Inc,246.88,235.88,6.27,419.03,900.04,491.83
Woody's Feed & Grain,528.41,517.54,291.56,700.56,1181.7,599.31
A G Partners Cooperative Inc,299.64,472.01,536.8,115.22,734.0,215.84
Agmark,366.32,576.56,607.75,227.52,895.31,116.44
"Beachner Grain Inc - Elevator, St Paul Elevator",501.29,592.01,738.46,316.87,816.87,396.5
Continental Agra Grain Equipment,450.78,635.02,687.94,307.72,888.32,248.37
Cooperative Elevator & Supply Company,607.0,826.75,848.43,456.2,1077.36,343.31
Cornerstone Agency LLC,467.47,700.61,708.9,351.57,1048.69,214.25
Countryside Feed LLC,418.61,619.34,655.78,275.09,872.64,243.58
Delphos Cooperative Association Elevator,364.79,570.48,601.95,221.45,915.57,162.1
Diversified Inc.,347.37,518.7,584.54,162.95,776.82,291.76
Farmers CO Op Elevator,475.19,666.44,712.36,322.18,924.55,272.79
Farmers Cooperative,491.68,674.18,728.85,329.93,932.3,289.28
Farmers Cooperative Elevator,450.88,647.02,688.05,307.82,900.32,248.48
Fowler Equity EXCH FERT Department,577.19,808.95,830.62,438.4,1059.56,325.5
Golden Belt Cooperative Association Inc,438.42,716.26,679.85,337.59,974.38,185.2
Heartland Mills Inc,539.57,774.62,788.08,430.75,1093.22,286.35
Hi-Plains Cooperative Association Inc,467.47,700.61,708.9,351.57,1048.69,214.25
Johnson Cooperative Grain Company,382.67,476.22,619.83,198.26,732.8,304.54
L Conat Construction,544.34,788.19,785.77,405.55,1041.49,292.66
Lighthouse Renovation & Repair,379.28,462.93,616.44,194.86,721.82,301.81
Mc Cune Farmers Cooperative Association,482.97,573.68,720.13,298.55,782.03,407.89
Mc Donald Commodities,384.92,465.81,622.08,200.5,717.41,307.45
Meade Cooperative South,607.0,826.75,848.43,456.2,1077.36,343.31
MGP Ingredients Inc,335.15,455.37,572.31,150.73,717.36,257.68
Mid Continent Industries,450.78,635.02,687.94,307.72,888.32,248.37
Minneola Cooperative Inc,565.37,797.13,818.81,426.58,1047.74,313.69
OK Company Op Grain Company,541.27,761.02,782.7,402.48,1011.64,285.58
Opp Concrete,488.15,647.98,725.31,301.77,902.13,275.13
Pawnee County Cooperative Association,483.59,723.48,725.02,344.8,981.59,247.15
Premier Construction Service Inc,491.85,651.69,729.02,305.47,905.83,284.4
Pro-Ag Marketing,364.22,596.88,605.65,247.85,937.89,110.53
Sherwood Construction Co Inc,488.15,647.98,725.31,301.77,902.13,275.13
Southern Plains Cooperative,505.29,742.96,746.72,366.5,996.26,264.83
Stafford County Flour Mills,475.25,715.13,716.67,336.45,973.24,226.25
Steinlite Corporation,335.15,455.37,572.31,150.73,717.36,257.68
United Prairie Agency LLC,585.56,847.96,824.88,469.29,1106.08,325.26
Wildcat Construction Co Inc,488.15,647.98,725.31,301.77,902.13,275.13
Woofter Construction & Irrigation,467.47,700.61,708.9,351.57,1048.69,214.25
Dakota Plains AG Center,74.33,327.77,322.64,226.88,875.19,197.56
Farmers Cooperative Elevator,179.51,195.85,81.19,351.66,860.01,424.45
Harrold Grain Co LLC,214.7,369.05,299.05,387.02,1029.36,309.99
Madison Farmers Elevator Company,54.28,247.76,207.92,226.43,868.93,259.12
Southeast Farmers Elevator,66.72,288.7,303.88,115.47,763.79,196.78
