Name,State,SN,Adress,Phone,Website,Located,Function,County,LON,LAT,Watershed,BasinName
Gold Eagle Cooperative,iowa,IA,"Livermore, Iowa 50558",1-515-379-1843,goldeaglecoop.com,Located in Humboldt County,Grain Elevators,Humboldt,-94.207168,42.776468,Upper Mississippi,MissppRN
Gold-Eagle Cooperative,iowa,IA,"Goldfield, Iowa 50542",1-515-825-3161,goldeaglecoop.com,Located in Wright County,Grain Elevators,Wright,-93.735145,42.733092,Upper Mississippi,MissppRN
Heartland Cooperative,iowa,IA,"West Des Moines, Iowa 50266",1-515-225-1334,www.heartlandcoop.com,Located in Polk County,Grain Elevators,Polk,-93.573539,41.685507,Upper Mississippi,MissppRN
JUHL Feed Store,iowa,IA,"Dana, Iowa 50064",1-515-738-5121,www.juhlfeed.com,Located in Greene County,"Agricultural Equipment and Supplies Retail, Chemicals Dealers, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Greene,-94.396842,42.036249,Upper Mississippi,MissppRN
Liquid Grow Tri Oak,iowa,IA,"Morning Sun, Iowa 52640",1-319-868-7931,www.trioak.com,Located in Louisa County,"Farm Equipment and Supplies Dealers, Grain Elevators",Louisa,-91.259615,41.218528,Upper Mississippi,MissppRN
North Central Cooperative,iowa,IA,"Clarion, Iowa 50525",1-515-532-2881,nccoop.com,Located in Wright County,Grain Elevators,Wright,-93.735145,42.733092,Upper Mississippi,MissppRN
Professional Cooperative,iowa,IA,"Manson, Iowa 50563",1-712-469-3388,procooperative.com,Located in Calhoun County,Grain Elevators,Calhoun,-94.640411,42.385193,Upper Mississippi,MissppRN
Pruess Elevator Inc,iowa,IA,"Lowden, Iowa 52255",1-563-944-5580,pruesselevator.com,Located in Cedar County,Grain Elevators,Cedar,-91.132438,41.772328,Upper Mississippi,MissppRN
Quality AG Service,iowa,IA,"Albia, Iowa 52531",1-641-932-2637,qualityag.com,Located in Monroe County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Garden Centers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Nurseries, Plants Retail",Monroe,-92.869011,41.029803,Upper Mississippi,MissppRN
Reiff Grain & Feed Inc,iowa,IA,"Fairfield, Iowa 52556",1-641-472-4136,fairfieldag.com,Located in Jefferson County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Jefferson,-91.948896,41.031777,Upper Mississippi,MissppRN
Shellsburg Elevator,iowa,IA,"Shellsburg, Iowa 52332",1-319-436-2251,www.shellsburgelevator.com,Located in Benton County,Grain Elevators,Benton,-92.06575,42.080194,Upper Mississippi,MissppRN
State Line Cooperative Elevator,iowa,IA,"Fenton, Iowa 50539",1-515-889-2251,www.statelinecoop.com,Located in Kossuth County,Grain Elevators,Kossuth,-94.206724,43.204203,Upper Mississippi,MissppRN
Tama Benton Cooperative Company,iowa,IA,"Dysart, Iowa 52224",1-319-476-3666,www.tamabentoncoop.com,Located in Tama County,Grain Elevators,Tama,-92.532561,42.079818,Upper Mississippi,MissppRN
Tri-States Grain Conditioning,iowa,IA,"Spirit Lake, Iowa 51360",1-712-336-0199,www.tsgcinc.com,Located in Dickinson County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Elevator Equipment and Builders, Grain Elevators",Dickinson,-95.150889,43.377919,Missouri,MissouriR
Agassiz Valley Grain,minnesota,MN,"Barnesville, Minnesota 56514",1-218-493-4481,www.agassizvalleygrain.com,Located in Clay County,Grain Elevators,Clay,-96.490659,46.892358,Nelson,NelsonR
All American Cooperative,minnesota,MN,"Eyota, Minnesota 55934",1-507-545-2921,www.allamericancoop.com,Located in Olmsted County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Olmsted,-92.401759,44.003767,Upper Mississippi,MissppRN
All American Cooperative,minnesota,MN,"Stewartville, Minnesota 55976",1-507-533-4222,allamericancoop.com,Located in Olmsted County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Olmsted,-92.401759,44.003767,Upper Mississippi,MissppRN
All-American Cooperative Viola,minnesota,MN,"Eyota, Minnesota 55934",1-507-876-2263,www.allamericancoop.com,Located in Olmsted County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Olmsted,-92.401759,44.003767,Upper Mississippi,MissppRN
Bellingham Fertilizer Plant,minnesota,MN,"Bellingham, Minnesota 56212",1-320-568-2216,www.bellinghamfarmerscoop.com,Located in Lac Qui Parle County,Grain Elevators,Lac Qui Parle,-96.173524,44.995482,Upper Mississippi,MissppRN
Bird Island Bean Company,minnesota,MN,"Bird Island, Minnesota 55310",1-320-365-3070,www.bibcllc.com,Located in Renville County,Grain Elevators,Renville,-94.947128,44.726822,Upper Mississippi,MissppRN
C-W Valley Cooperative,minnesota,MN,"Wolverton, Minnesota 56594",1-218-995-2565,www.cwvalley.com,Located in Wilkin County,Grain Elevators,Wilkin,-96.468335,46.357069,Nelson,NelsonR
C-W Valley Cooperative - Comstock Elevator,minnesota,MN,"Wolverton, Minnesota 56594",1-218-585-4616,www.cwvalley.com,Located in Wilkin County,Grain Elevators,Wilkin,-96.468335,46.357069,Nelson,NelsonR
Canby Farmers Grain Company,minnesota,MN,"Canby, Minnesota 56220",1-507-223-7236,www.cfgrain.com,Located in Yellow Medicine County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Yellow Medicine,-95.868371,44.716256,Upper Mississippi,MissppRN
Dawson Grain Cooperative,minnesota,MN,"Dawson, Minnesota 56232",1-320-769-4730,dawsongrain.com,Located in Lac Qui Parle County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators",Lac Qui Parle,-96.173524,44.995482,Upper Mississippi,MissppRN
Elbow Lake Cooperative Grain Company,minnesota,MN,"Elbow Lake, Minnesota 56531",1-218-685-5331,www.elbowlakecoopgrain.com,Located in Grant County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Grant,-96.012183,45.934059,Nelson,NelsonR
Farm Service Elevator,minnesota,MN,"Willmar, Minnesota 56201",1-320-235-8870,willmarpoultry.com,Located in Kandiyohi County,Grain Elevators,Kandiyohi,-95.004726,45.152377,Upper Mississippi,MissppRN
Farmers Cooperative of Hanska - Main Office - Hanska,minnesota,MN,"Hanska, Minnesota 56041",1-507-439-6244,www.hanskaco.com,Located in Brown County,Grain Elevators,Brown,-94.727601,44.242145,Upper Mississippi,MissppRN
Farmers Mill & Elevator Inc,minnesota,MN,"Castle Rock, Minnesota 55010",1-507-645-5648,assurancefeed.com,Located in Dakota County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Dakota,-93.065442,44.671878,Upper Mississippi,MissppRN
Forsbergs Inc,minnesota,MN,"Thief River Falls, Minnesota 56701",1-218-681-1927,www.forsbergs.com,Located in Pennington County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators, Importers, Industrial Equipment and Supplies Dealers",Pennington,-96.036709,48.06624,Nelson,NelsonR
Humboldt-St Vincent Elevator,minnesota,MN,"Humboldt, Minnesota 56731",1-218-379-3121,www.humboldtelev.com,Located in Kittson County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Kittson,-96.782876,48.776639,Nelson,NelsonR
K & S Millwrights Inc,minnesota,MN,"Buffalo Lake, Minnesota 55314",1-320-833-2228,www.ksmillwrights.com,Located in Renville County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Bins, Grain Elevator Equipment and Builders, Grain Elevators",Renville,-94.947128,44.726822,Upper Mississippi,MissppRN
Munson Lakes Nutrition,minnesota,MN,"Howard Lake, Minnesota 55349",1-320-543-2561,www.munsonlakes.com,Located in Wright County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Wright,-93.963063,45.173958,Upper Mississippi,MissppRN
Prairie Grain Partners LLC,minnesota,MN,"Clarkfield, Minnesota 56223",1-320-669-7501,prairiegrainpartners.com,Located in Yellow Medicine County,Grain Elevators,Yellow Medicine,-95.868371,44.716256,Upper Mississippi,MissppRN
Prairie Lakes Cooperative Elevator,minnesota,MN,"Glenwood, Minnesota 56334",1-320-634-3028,www.prairielakescoop.com,Located in Pope County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Pope,-95.444511,45.586009,Upper Mississippi,MissppRN
Prinsburg Farmers Cooperative,minnesota,MN,"Prinsburg, Minnesota 56281",1-320-978-8100,www.prccoop.com,Located in Kandiyohi County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Pest Control Equipment and Supplies Retail, Pest Control Services",Kandiyohi,-95.004726,45.152377,Upper Mississippi,MissppRN
Profile Industries Inc,minnesota,MN,"Rogers, Minnesota 55374",1-763-428-5858,www.profile-ind.com,Located in Hennepin County,"General Merchandise Wholesale, Grain Elevators",Hennepin,-93.476896,45.004583,Upper Mississippi,MissppRN
Rapat Corporation,minnesota,MN,"Hawley, Minnesota 56549",1-218-483-3344,rapat.com,Located in Clay County,"Grain Elevators, Industrial Equipment and Supplies Wholesale and Manufacturers, Metals",Clay,-96.490659,46.892358,Nelson,NelsonR
Red River Grain Company,minnesota,MN,"Breckenridge, Minnesota 56520",1-218-643-3738,www.redrivergrain.com,Located in Wilkin County,Grain Elevators,Wilkin,-96.468335,46.357069,Nelson,NelsonR
River Region Cooperative - Main Office,minnesota,MN,"Sleepy Eye, Minnesota 56085",1-507-794-3031,www.riverregioncoop.com,Located in Brown County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Brown,-94.727601,44.242145,Upper Mississippi,MissppRN
South Central Grain & Energy,minnesota,MN,"Hector, Minnesota 55342",1-320-848-2273,scgemn.com,Located in Renville County,"Auto Service and Repair, Fuel Oils, Gas Stations, Grain Elevators, Petroleum Oils Retail, Petroleum Products and Equipment",Renville,-94.947128,44.726822,Upper Mississippi,MissppRN
UAS Service Corporation,minnesota,MN,"Hawley, Minnesota 56549",1-218-483-3551,uasservice.com,Located in Clay County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators",Clay,-96.490659,46.892358,Nelson,NelsonR
Van AHN & CO Inc,minnesota,MN,"Alexandria, Minnesota 56308",1-320-762-1104,www.vanahnco.com,Located in Douglas County,Grain Elevators,Douglas,-95.453537,45.933732,Upper Mississippi,MissppRN
Waconia Manufacturing,minnesota,MN,"Waconia, Minnesota 55387",1-952-442-2115,waconiamfg.com,Located in Carver County,"Grain Elevators, Industrial Equipment and Supplies Dealers, Industrial Equipment and Supplies Wholesale and Manufacturers",Carver,-93.802607,44.820798,Upper Mississippi,MissppRN
