Name,SN,Production,Ending
Fordville CO Op Marketing Association,ND,426431.72,0.05
Gutter Topper OF North Dakota,ND,426431.72,0.05
Harvey Farmers Elevator,ND,426431.72,0.05
James Valley Grain,ND,426431.72,0.05
Lorrich Industries Inc,ND,426431.72,0.05
Maple River Grain & Agronomy,ND,426431.72,0.05
Martin Construction Inc,ND,426431.72,0.05
Mayport Farmers Cooperative,ND,426431.72,0.05
Powers Lake Elevator Company,ND,426431.72,0.05
Reynolds United Cooperative,ND,426431.72,0.05
Reynolds United Cooperative,ND,426431.72,0.05
South Central Grain,ND,426431.72,0.05
Wanzek Construction Inc,ND,426431.72,0.05
Woody's Feed & Grain,ND,426431.72,0.05
A G Partners Cooperative Inc,KS,426431.72,0.05
Agmark,KS,426431.72,0.05
"Beachner Grain Inc - Elevator, St Paul Elevator",KS,426431.72,0.05
Continental Agra Grain Equipment,KS,426431.72,0.05
Cooperative Elevator & Supply Company,KS,426431.72,0.05
Cornerstone Agency LLC,KS,426431.72,0.05
Countryside Feed LLC,KS,426431.72,0.05
Delphos Cooperative Association Elevator,KS,426431.72,0.05
Diversified Inc.,KS,426431.72,0.05
Farmers CO Op Elevator,KS,426431.72,0.05
Farmers Cooperative,KS,426431.72,0.05
Farmers Cooperative Elevator,KS,426431.72,0.05
Fowler Equity EXCH FERT Department,KS,426431.72,0.05
Golden Belt Cooperative Association Inc,KS,426431.72,0.05
Heartland Mills Inc,KS,426431.72,0.05
Hi-Plains Cooperative Association Inc,KS,426431.72,0.05
Johnson Cooperative Grain Company,KS,426431.72,0.05
L Conat Construction,KS,426431.72,0.05
Lighthouse Renovation & Repair,KS,426431.72,0.05
Mc Cune Farmers Cooperative Association,KS,426431.72,0.05
Mc Donald Commodities,KS,426431.72,0.05
Meade Cooperative South,KS,426431.72,0.05
MGP Ingredients Inc,KS,426431.72,0.05
Mid Continent Industries,KS,426431.72,0.05
Minneola Cooperative Inc,KS,426431.72,0.05
OK Company Op Grain Company,KS,426431.72,0.05
Opp Concrete,KS,426431.72,0.05
Pawnee County Cooperative Association,KS,426431.72,0.05
Premier Construction Service Inc,KS,426431.72,0.05
Pro-Ag Marketing,KS,426431.72,0.05
Sherwood Construction Co Inc,KS,426431.72,0.05
Southern Plains Cooperative,KS,426431.72,0.05
Stafford County Flour Mills,KS,426431.72,0.05
Steinlite Corporation,KS,426431.72,0.05
United Prairie Agency LLC,KS,426431.72,0.05
Wildcat Construction Co Inc,KS,426431.72,0.05
Woofter Construction & Irrigation,KS,426431.72,0.05
Dakota Plains AG Center,SD,426431.72,0.05
Farmers Cooperative Elevator,SD,426431.72,0.05
Harrold Grain Co LLC,SD,426431.72,0.05
Madison Farmers Elevator Company,SD,426431.72,0.05
Southeast Farmers Elevator,SD,426431.72,0.05
