Name,State,SN,Adress,Phone,Website,Located,Function
Hometeam Group Inc,illinois,IL,"La Grange, Illinois 60525",1-708-352-6400,hometeamgroupco.com,Located in Cook County,"Building Contractors, Building Remodeling and Repair Contractors, Construction Companies, Grain Elevators"
Hudson Grain Co,illinois,IL,"Hudson, Illinois 61748",1-309-726-1671,www.hudsongrain.com,Located in McLean County,Grain Elevators
I D Construction,illinois,IL,"Crystal Lake, Illinois 60014",1-815-444-8058,www.bestchicagosiding.com,Located in McHenry County,"Building Contractors, Construction Companies, Grain Elevators"
Jayco Construction,illinois,IL,"Springfield, Illinois 62707",1-217-522-8621,jaycoconstruction.net/,Located in Sangamon County,"Building Contractors, Construction Companies, Excavation Contractors, Grain Elevators, Wrecking and Demolition Contractors"
Jersey County Grain Company,illinois,IL,"Hardin, Illinois 62047",1-618-576-2519,www.jerseycountygrain.com,Located in Calhoun County,Grain Elevators
K T Richards Construction,illinois,IL,"Homer Glen, Illinois 60491",1-708-966-2152,ktrichards.com,Located in Will County,"Building Contractors, Carpenters, Construction Companies, Grain Elevators"
Kitchen Seed Co Inc,illinois,IL,"Pittsfield, Illinois 62363",1-217-285-9659,www.kitchenseed.com,Located in Pike County,Grain Elevators
Koehl Brothers Inc,illinois,IL,"Fairbury, Illinois 61739",1-815-692-2326,koehlbros.com,Located in Livingston County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Elevators"
Legend Exterior & Construction,illinois,IL,"Roselle, Illinois 60172",1-630-351-0656,www.legendexteriors.com,Located in DuPage County,"Building Contractors, Construction Companies, Grain Elevators, Roofing Contractors"
Lincolnland Agri-Energy,illinois,IL,"Palestine, Illinois 62451",1-618-586-2321,www.lincolnlandagrienergy.com,Located in Crawford County,Grain Elevators
Lumber 1 Construction,illinois,IL,"Chicago, Illinois 60618",1-773-290-1111,www.lumber1construction.com,Located in Cook County,"Building Contractors, Construction Companies, Grain Elevators"
Midwest Ingredients Inc,illinois,IL,"Princeville, Illinois 61559",1-309-385-1035,midwestingredients.com,Located in Peoria County,Grain Elevators
Monica Elevator CO,illinois,IL,"Princeville, Illinois 61559",1-309-385-4938,www.monicaelevator.com,Located in Peoria County,Grain Elevators
Northern Grain Marketing,illinois,IL,"Ohio, Illinois 61349",1-815-376-2411,www.northerngrainmarketing.com,Located in Bureau County,Grain Elevators
P&K Quality Construction,illinois,IL,"Pana, Illinois 62557",1-217-820-2224,www.pkqualityconstruction.com/,Located in Christian County,"Building Contractors, Construction Companies, Deck Construction and Maintenance Commercial and Industrial, Garage Builders, Grain Elevators, Patio, Porch, Deck and Gazebo Builders"
Path Construction Co Inc,illinois,IL,"Arlington Heights, Illinois 60005",1-847-342-1188,pathcc.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Government Contractors, Grain Elevators, Home Builders and Developers"
Prentice Farmers Elevator,illinois,IL,"Ashland, Illinois 62612",1-217-476-3516,www.prenticeelevator.com,Located in Cass County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
"R.A. James Construction, Inc.",illinois,IL,"Berwyn, Illinois 60402",1-708-788-3033,rajames.com,Located in Cook County,"Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators"
Reyes Group Limited,illinois,IL,"Markham, Illinois 60428",1-708-596-7100,www.reyesgroup.com,Located in Cook County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
Roanoke Farmers Association,illinois,IL,"Roanoke, Illinois 61561",1-309-923-3841,www.roanokefarmers.com,Located in Woodford County,Grain Elevators
Robert P Johnson Grain Company,illinois,IL,"Waverly, Illinois 62692",1-217-435-2361,johnsongrain.com,Located in Morgan County,Grain Elevators
Rock River Lumber & Grain Company,illinois,IL,"Prophetstown, Illinois 61277",1-815-537-5615,rockriverag.com,Located in Whiteside County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Home Improvement and Maintenance, Home Improvement Stores, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Shore Sales CO Inc,illinois,IL,"Rantoul, Illinois 61866",1-217-892-2544,www.moisturetesters.com,Located in Champaign County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
Siemer Milling Company,illinois,IL,"Teutopolis, Illinois 62467",1-217-857-3131,siemermilling.com,Located in Effingham County,Grain Elevators
Stanford Grain Company,illinois,IL,"Stanford, Illinois 61774",1-309-379-2141,www.stanfordgrain.com,Located in McLean County,Grain Elevators
Top Ag Cooperative,illinois,IL,"Pierron, Illinois 62273",1-618-654-9804,www.topag.net,,Grain Elevators
Top Flight Grain,illinois,IL,"Monticello, Illinois 61856",1-217-762-2163,topflightgrain.com,Located in Piatt County,Grain Elevators
Tremont Cooperative Grain Company,illinois,IL,"Tremont, Illinois 61568",1-309-925-4981,tremont.coop,Located in Tazewell County,Grain Elevators
Tri Central Cooperative - Main Ofc,illinois,IL,"Ashkum, Illinois 60911",1-815-698-2327,www.tricentralcoop.com,Located in Iroquois County,Grain Elevators
Twomey Company,illinois,IL,"Smithshire, Illinois 61478",1-309-325-7100,www.twomeyco.com,Located in Warren County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Union Iron Works Inc,illinois,IL,"Decatur, Illinois 62521",1-217-429-5148,unionironworks.com,Located in Macon County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Industrial Equipment and Supplies Dealers, Industrial Equipment and Supplies Wholesale and Manufacturers"
US NATIONAL CONSTRUCTION,illinois,IL,"Chicago, Illinois 60623",1-312-724-6002,www.usnationalconstruction.com,Located in Cook County,"Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators"
Wesemann Feeds,illinois,IL,"Genoa, Illinois 60135",1-815-784-5054,www.wesemannfeeds.com,Located in DeKalb County,Grain Elevators
Bazooka-Farmstar Inc,iowa,IA,"Washington, Iowa 52353",1-319-653-5080,www.bazookafarmstar.com,Located in Washington County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Buckingham Co-Operative Company,iowa,IA,"Buckingham, Iowa 50612",1-319-478-2331,buckingham.coop,Located in Tama County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Clinton Feed & Grain,iowa,IA,"Clinton, Iowa 52732",1-563-242-3350,www.clintonfeed.com,Located in Clinton County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Dandea Enterprises Inc,iowa,IA,"Coggon, Iowa 52218",1-319-435-2265,www.dandea.com,Located in Linn County,"Grain Elevators, Metal Fabricators, Metal Products Wholesale and Manufacturers, Metal Products, Metals, Moving and Storage Equipment and Supplies Retail, Moving and Storage, Sheet Metal Equipment and Supplies Wholesale and Manufacturers"
Dunkerton Cooperative,iowa,IA,"Dunkerton, Iowa 50626",1-319-822-4201,www.dunkertoncoop.com,Located in Black Hawk County,"Fuels Retail, Grain Elevators, Propane and Natural Gas"
East Central Iowa Cooperative,iowa,IA,"Cedar Falls, Iowa 50613",1-319-266-0775,www.ecicoop.com,Located in Black Hawk County,Grain Elevators
East Central Iowa Cooperative,iowa,IA,"Jesup, Iowa 50648",1-319-827-6226,ecicoop.com,Located in Buchanan County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Home Improvement and Maintenance, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail, Pest Control Equipment and Supplies Retail, Pest Control Services, Pesticides"
Farmers Cooperative,iowa,IA,"Radcliffe, Iowa 50230",1-515-899-2101,www.radcliffecoop.com,Located in Hardin County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
Farmers Elevator & Exchange,iowa,IA,"Wapello, Iowa 52653",1-319-523-5351,farmerseande.com,Located in Louisa County,Grain Elevators
Gold Eagle Cooperative,iowa,IA,"Wesley, Iowa 50483",1-515-679-4272,www.goldeaglecoop.com,Located in Kossuth County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
Gold Eagle Cooperative,iowa,IA,"Eagle Grove, Iowa 50533",1-515-448-4775,www.goldeaglecoop.com,Located in Wright County,Grain Elevators
Gold Eagle Cooperative,iowa,IA,"Livermore, Iowa 50558",1-515-379-1843,goldeaglecoop.com,Located in Humboldt County,Grain Elevators
Gold-Eagle Cooperative,iowa,IA,"Goldfield, Iowa 50542",1-515-825-3161,goldeaglecoop.com,Located in Wright County,Grain Elevators
Heartland Cooperative,iowa,IA,"West Des Moines, Iowa 50266",1-515-225-1334,www.heartlandcoop.com,Located in Polk County,Grain Elevators
JUHL Feed Store,iowa,IA,"Dana, Iowa 50064",1-515-738-5121,www.juhlfeed.com,Located in Greene County,"Agricultural Equipment and Supplies Retail, Chemicals Dealers, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Liquid Grow Tri Oak,iowa,IA,"Morning Sun, Iowa 52640",1-319-868-7931,www.trioak.com,Located in Louisa County,"Farm Equipment and Supplies Dealers, Grain Elevators"
North Central Cooperative,iowa,IA,"Clarion, Iowa 50525",1-515-532-2881,nccoop.com,Located in Wright County,Grain Elevators
Professional Cooperative,iowa,IA,"Manson, Iowa 50563",1-712-469-3388,procooperative.com,Located in Calhoun County,Grain Elevators
Pruess Elevator Inc,iowa,IA,"Lowden, Iowa 52255",1-563-944-5580,pruesselevator.com,Located in Cedar County,Grain Elevators
Quality AG Service,iowa,IA,"Albia, Iowa 52531",1-641-932-2637,qualityag.com,Located in Monroe County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Garden Centers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Nurseries, Plants Retail"
Reiff Grain & Feed Inc,iowa,IA,"Fairfield, Iowa 52556",1-641-472-4136,fairfieldag.com,Located in Jefferson County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Shellsburg Elevator,iowa,IA,"Shellsburg, Iowa 52332",1-319-436-2251,www.shellsburgelevator.com,Located in Benton County,Grain Elevators
State Line Cooperative Elevator,iowa,IA,"Fenton, Iowa 50539",1-515-889-2251,www.statelinecoop.com,Located in Kossuth County,Grain Elevators
Tama Benton Cooperative Company,iowa,IA,"Dysart, Iowa 52224",1-319-476-3666,www.tamabentoncoop.com,Located in Tama County,Grain Elevators
Tri-States Grain Conditioning,iowa,IA,"Spirit Lake, Iowa 51360",1-712-336-0199,www.tsgcinc.com,Located in Dickinson County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Elevator Equipment and Builders, Grain Elevators"
Agassiz Valley Grain,minnesota,MN,"Barnesville, Minnesota 56514",1-218-493-4481,www.agassizvalleygrain.com,Located in Clay County,Grain Elevators
All American Cooperative,minnesota,MN,"Eyota, Minnesota 55934",1-507-545-2921,www.allamericancoop.com,Located in Olmsted County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
All American Cooperative,minnesota,MN,"Stewartville, Minnesota 55976",1-507-533-4222,allamericancoop.com,Located in Olmsted County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
All-American Cooperative Viola,minnesota,MN,"Eyota, Minnesota 55934",1-507-876-2263,www.allamericancoop.com,Located in Olmsted County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Bellingham Fertilizer Plant,minnesota,MN,"Bellingham, Minnesota 56212",1-320-568-2216,www.bellinghamfarmerscoop.com,Located in Lac Qui Parle County,Grain Elevators
Bird Island Bean Company,minnesota,MN,"Bird Island, Minnesota 55310",1-320-365-3070,www.bibcllc.com,Located in Renville County,Grain Elevators
C-W Valley Cooperative,minnesota,MN,"Wolverton, Minnesota 56594",1-218-995-2565,www.cwvalley.com,Located in Wilkin County,Grain Elevators
C-W Valley Cooperative - Comstock Elevator,minnesota,MN,"Wolverton, Minnesota 56594",1-218-585-4616,www.cwvalley.com,Located in Wilkin County,Grain Elevators
Canby Farmers Grain Company,minnesota,MN,"Canby, Minnesota 56220",1-507-223-7236,www.cfgrain.com,Located in Yellow Medicine County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Dawson Grain Cooperative,minnesota,MN,"Dawson, Minnesota 56232",1-320-769-4730,dawsongrain.com,Located in Lac Qui Parle County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
Elbow Lake Cooperative Grain Company,minnesota,MN,"Elbow Lake, Minnesota 56531",1-218-685-5331,www.elbowlakecoopgrain.com,Located in Grant County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Farm Service Elevator,minnesota,MN,"Willmar, Minnesota 56201",1-320-235-8870,willmarpoultry.com,Located in Kandiyohi County,Grain Elevators
Farmers Cooperative of Hanska - Main Office - Hanska,minnesota,MN,"Hanska, Minnesota 56041",1-507-439-6244,www.hanskaco.com,Located in Brown County,Grain Elevators
Farmers Mill & Elevator Inc,minnesota,MN,"Castle Rock, Minnesota 55010",1-507-645-5648,assurancefeed.com,Located in Dakota County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
Forsbergs Inc,minnesota,MN,"Thief River Falls, Minnesota 56701",1-218-681-1927,www.forsbergs.com,Located in Pennington County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators, Importers, Industrial Equipment and Supplies Dealers"
Humboldt-St Vincent Elevator,minnesota,MN,"Humboldt, Minnesota 56731",1-218-379-3121,www.humboldtelev.com,Located in Kittson County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
K & S Millwrights Inc,minnesota,MN,"Buffalo Lake, Minnesota 55314",1-320-833-2228,www.ksmillwrights.com,Located in Renville County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Bins, Grain Elevator Equipment and Builders, Grain Elevators"
Munson Lakes Nutrition,minnesota,MN,"Howard Lake, Minnesota 55349",1-320-543-2561,www.munsonlakes.com,Located in Wright County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Prairie Grain Partners LLC,minnesota,MN,"Clarkfield, Minnesota 56223",1-320-669-7501,prairiegrainpartners.com,Located in Yellow Medicine County,Grain Elevators
Prairie Lakes Cooperative Elevator,minnesota,MN,"Glenwood, Minnesota 56334",1-320-634-3028,www.prairielakescoop.com,Located in Pope County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Prinsburg Farmers Cooperative,minnesota,MN,"Prinsburg, Minnesota 56281",1-320-978-8100,www.prccoop.com,Located in Kandiyohi County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Pest Control Equipment and Supplies Retail, Pest Control Services"
Profile Industries Inc,minnesota,MN,"Rogers, Minnesota 55374",1-763-428-5858,www.profile-ind.com,Located in Hennepin County,"General Merchandise Wholesale, Grain Elevators"
Rapat Corporation,minnesota,MN,"Hawley, Minnesota 56549",1-218-483-3344,rapat.com,Located in Clay County,"Grain Elevators, Industrial Equipment and Supplies Wholesale and Manufacturers, Metals"
Red River Grain Company,minnesota,MN,"Breckenridge, Minnesota 56520",1-218-643-3738,www.redrivergrain.com,Located in Wilkin County,Grain Elevators
River Region Cooperative - Main Office,minnesota,MN,"Sleepy Eye, Minnesota 56085",1-507-794-3031,www.riverregioncoop.com,Located in Brown County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
South Central Grain & Energy,minnesota,MN,"Hector, Minnesota 55342",1-320-848-2273,scgemn.com,Located in Renville County,"Auto Service and Repair, Fuel Oils, Gas Stations, Grain Elevators, Petroleum Oils Retail, Petroleum Products and Equipment"
UAS Service Corporation,minnesota,MN,"Hawley, Minnesota 56549",1-218-483-3551,uasservice.com,Located in Clay County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
Van AHN & CO Inc,minnesota,MN,"Alexandria, Minnesota 56308",1-320-762-1104,www.vanahnco.com,Located in Douglas County,Grain Elevators
Waconia Manufacturing,minnesota,MN,"Waconia, Minnesota 55387",1-952-442-2115,waconiamfg.com,Located in Carver County,"Grain Elevators, Industrial Equipment and Supplies Dealers, Industrial Equipment and Supplies Wholesale and Manufacturers"
Western Consolidated Cooperative,minnesota,MN,"Holloway, Minnesota 56249",1-320-394-2171,west-con.com,Located in Swift County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
Boyd Grain Inc,indiana,IN,"Washington, Indiana 47501",1-812-254-5599,boydgrain.com,Located in Daviess County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Freight and Cargo Transport, Freight Trucking, Grain Elevators, Trucking Companies"
Riley Equipment Inc,indiana,IN,"Vincennes, Indiana 47591",1-812-886-5500,www.rileyequipment.com,Located in Knox County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Farm Equipment and Supplies Dealers, Grain Elevator Equipment and Builders, Grain Elevators, Industrial Equipment and Supplies Dealers"
Agrex Inc,nebraska,NE,"Superior, Nebraska 68978",1-402-879-4702,www.agrexinc.com,Located in Nuckolls County,Grain Elevators
Batterton Waterproofing Inc,nebraska,NE,"York, Nebraska 68467",1-402-362-3855,battertonwaterproofing.com,Located in York County,"Builders and Contractors, Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
Central Valley AG,nebraska,NE,"Hooper, Nebraska 68031",1-402-654-3367,cvacoop.com,Located in Dodge County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail"
Cooperative Supply,nebraska,NE,"Leigh, Nebraska 68643",1-402-487-2295,coopsupply.com,Located in Colfax County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Cooperative Supply Inc,nebraska,NE,"Dodge, Nebraska 68633",1-402-693-2261,www.coopsupply.com,Located in Dodge County,"Building Materials and Supplies Dealers, Grain Elevators, Saw Sales, Sharpening and Repair"
Cooperative Supply Inc,nebraska,NE,"Dodge, Nebraska 68633",1-402-693-2222,www.coopsupply.com,Located in Dodge County,Grain Elevators
Country Partners Cooperative,nebraska,NE,"Albion, Nebraska 68620",1-402-395-2139,countrypartnerscoop.com,Located in Boone County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
Country Partners Cooperative Company,nebraska,NE,"Primrose, Nebraska 68655",1-308-396-1650,countrypartnerscoop.com,Located in Boone County,Grain Elevators
Crossroads Cooperative Association,nebraska,NE,"Sidney, Nebraska 69162",1-308-884-2238,www.crossroadscoop.com,Located in Cheyenne County,Grain Elevators
Crossroads Cooperative Association,nebraska,NE,"Sidney, Nebraska 69162",1-308-254-4230,crossroadscoop.com,Located in Cheyenne County,Grain Elevators
CTEC Inc,nebraska,NE,"York, Nebraska 68467",1-402-362-5951,ctecconcrete.com,Located in York County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators"
Grain States Soya Inc,nebraska,NE,"West Point, Nebraska 68788",1-402-372-2429,www.soybest.com,Located in Cuming County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators"
J E Meuret Grain Company,nebraska,NE,"Brunswick, Nebraska 68720",1-402-842-2515,jemeuretgrain.com,Located in Antelope County,Grain Elevators
Kaapa Ethanol LLC,nebraska,NE,"Minden, Nebraska 68959",1-308-743-2217,kaapaethanol.com,Located in Kearney County,Grain Elevators
Kaapa Grains,nebraska,NE,"Elm Creek, Nebraska 68836",1-308-856-4643,kaapagrains.com,Located in Buffalo County,Grain Elevators
Midwest Farmers Cooperative,nebraska,NE,"Elmwood, Nebraska 68349",1-402-994-2585,midwestfarmers.coop,Located in Cass County,Grain Elevators
Pride Grain,nebraska,NE,"Long Pine, Nebraska 69217",1-402-273-4468,www.pridegrain.com,Located in Brown County,Grain Elevators
Shickley Grain CO Inc,nebraska,NE,"Shickley, Nebraska 68436",1-402-627-2425,shickleygrain.com,Located in Fillmore County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Andersons Investment Service,ohio,OH,"Maumee, Ohio 43537",1-419-891-6358,andersonsinc.com,Located in Lucas County,"Financial Services, Grain Elevators, Homes and Residential Real Estate, Housing Consultants, Railroad Car Leasing, Railroads, Real Estate Agencies and Brokerage, Real Estate Consultants"
Creamer Metal Products Inc,ohio,OH,"London, Ohio 43140",1-740-852-1752,www.creamermetal.com,Located in Madison County,"Agricultural Equipment and Supplies Retail, Building and Home Construction, Exporters, Farm Equipment and Supplies Dealers, Grain Elevator Equipment and Builders, Grain Elevators"
Deerfield Farms Service,ohio,OH,"Deerfield, Ohio 44411",1-330-584-4715,deerfieldfarms.com,Located in Portage County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Elgin Service Center,ohio,OH,"Pioneer, Ohio 43554",1-419-485-8593,kbuildings.com,Located in Williams County,"Grain Elevator Equipment and Builders, Grain Elevators"
Farmers Elevator Grain & SUPL,ohio,OH,"New Bavaria, Ohio 43548",1-419-653-4132,www.thefarmerselevator.com,Located in Henry County,Grain Elevators
Gerald Grain Center,ohio,OH,"Napoleon, Ohio 43545",1-419-598-8015,www.geraldgrain.com,Located in Henry County,Grain Elevators
Hicksville Grain Company,ohio,OH,"Hicksville, Ohio 43526",1-419-542-7021,www.hicksvillegrain.com,Located in Defiance County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Jewell Grain Company,ohio,OH,"Defiance, Ohio 43512",1-419-497-2101,jewellgrain.com,Located in Defiance County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Keller Grain & Feed Inc,ohio,OH,"Greenville, Ohio 45331",1-937-448-2284,kellergrain.com,Located in Darke County,Grain Elevators
Pandora Grain & Supply,ohio,OH,"Pandora, Ohio 45877",1-419-384-3255,www.pandoragrain.com,Located in Putnam County,Grain Elevators
Scott Equity Exchange,ohio,OH,"Scott, Ohio 45886",1-419-622-6151,scottequityexchange.com,Located in Van Wert County,Grain Elevators
Bewley ConStruction LLC,missouri,MO,"Nixa, Missouri 65714",1-417-459-3777,bewleyconstruction.com,Located in Christian County,"Building Contractors, Construction Companies, Grain Elevators"
Butterfield & Associates Grain Inc,missouri,MO,"Meadville, Missouri 64659",1-660-938-4116,www.butterfieldgrain.com,Located in Linn County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Cameron Cooperative Elevator Association - Mill & Office,missouri,MO,"Cameron, Missouri 64429",1-816-632-2124,cameroncoop.com,Located in Clinton County,Grain Elevators
"Capital Electric Line Builders, Inc.",missouri,MO,"Riverside, Missouri 64150",1-816-389-4000,www.celbinc.com,Located in Platte County,"Building Contractors, Construction Companies, Electric Contractors, Grain Elevators"
