Name,West River Transit,Vision Transportation of Elk River | Big Lake | Rogers | Zimmerman,River Cities Public Transit,Two Rivers Transportation,Blue Rivers Public Transportation,"Transport 360, LLC.","Five Rivers Transport, LLC",East Side River Transportation Inc,River City Transportation,River Transportation Co
Grainland Cooperative,877.64,485.29,769.95,551.82,395.93,377.37,399.25,184.16,131.45,306.35
Grainland Elevator,870.8,478.46,777.78,559.66,403.77,384.33,406.2,191.11,140.17,305.45
Grand Prairie Cooperative Inc,944.36,552.01,854.12,635.99,460.83,373.2,395.07,180.78,215.63,254.59
Graymont Cooperative Association Grain ELEV,869.37,477.03,793.23,575.1,474.28,402.43,424.31,209.22,138.73,302.32
Hartsburg Grain Company,918.38,526.04,790.23,572.1,421.52,333.89,355.76,140.67,151.73,301.66
Heartland Construction,832.76,440.41,791.71,573.43,504.29,496.02,517.9,302.8,143.48,292.62
Hometeam Group Inc,832.51,440.17,791.46,593.91,493.09,481.04,502.92,287.82,132.27,296.97
Hudson Grain Co,874.8,482.45,796.24,578.12,457.29,369.65,391.53,176.44,144.16,290.77
I D Construction,780.25,387.9,739.2,530.84,487.05,493.44,515.29,328.43,126.23,344.05
Jayco Construction,949.47,557.12,823.85,608.52,383.65,296.02,317.89,106.92,190.22,316.41
Jersey County Grain Company,930.87,542.07,788.51,573.18,348.31,260.68,269.39,73.96,228.06,384.88
K T Richards Construction,844.84,452.5,803.79,594.88,494.05,473.02,494.9,279.81,138.03,294.12
Kitchen Seed Co Inc,900.23,511.42,759.6,544.27,319.4,231.77,253.64,115.68,192.4,386.23
Koehl Brothers Inc,892.26,499.91,816.12,597.99,486.38,398.75,420.62,205.53,161.62,284.98
Legend Exterior & Construction,809.86,417.52,768.81,550.54,497.36,503.75,525.6,301.06,136.54,317.11
Lincolnland Agri-Energy,1045.52,653.18,955.28,737.15,523.59,435.95,402.48,160.83,316.79,218.13
Lumber 1 Construction,832.76,440.41,791.71,573.43,504.29,496.02,517.9,302.8,143.48,292.62
Midwest Ingredients Inc,864.64,475.84,742.71,524.58,368.7,364.25,386.12,198.59,86.55,344.1
Monica Elevator CO,864.64,475.84,742.71,524.58,368.7,364.25,386.12,198.59,86.55,344.1
Northern Grain Marketing,825.45,433.1,712.92,497.6,396.77,403.16,425.01,242.89,55.52,377.6
P&K Quality Construction,971.47,579.12,864.71,649.38,424.51,336.88,344.74,103.1,228.35,288.61
Path Construction Co Inc,811.96,419.61,770.9,552.63,508.84,515.24,537.08,307.87,148.03,322.37
Prentice Farmers Elevator,914.73,525.92,809.38,594.05,369.18,281.55,303.42,131.55,168.15,336.79
"R.A. James Construction, Inc.",830.59,438.24,789.54,595.34,494.51,487.52,509.39,294.3,133.7,302.49
Reyes Group Limited,852.28,459.94,811.23,601.49,500.66,479.63,501.51,286.42,154.37,278.86
Roanoke Farmers Association,867.38,475.04,775.62,557.49,401.61,385.97,407.84,192.75,136.74,312.51
Robert P Johnson Grain Company,947.56,565.4,806.93,591.6,366.74,279.1,300.98,90.82,219.78,346.2
Rock River Lumber & Grain Company,821.58,432.77,696.84,481.52,380.69,387.09,408.93,255.16,25.25,408.64
Shore Sales CO Inc,935.45,543.1,845.21,627.08,480.73,393.09,414.97,197.72,206.71,239.71
Siemer Milling Company,1012.27,619.92,922.03,703.9,474,386.36,354.42,112.78,283.53,240.75
Stanford Grain Company,897.79,505.44,791.26,573.13,443.15,355.51,377.39,162.29,152.76,290.8
Top Ag Cooperative,1034.46,640.38,866.33,651,426.13,336.84,285.45,43.81,273.48,312.27
Top Flight Grain,938.21,545.87,847.97,629.84,448.05,360.41,382.29,167.2,209.48,253.09
Tremont Cooperative Grain Company,893.4,504.59,771.47,553.34,440.6,352.97,374.84,159.75,132.98,307.85
Tri Central Cooperative - Main Ofc,907.42,515.07,836.62,618.49,522.75,435.12,435.12,239.75,182.11,248.86
Twomey Company,823.02,434.22,692.75,477.42,306.63,303.34,325.22,194.86,102.47,386.4
Union Iron Works Inc,931.28,538.93,835.69,617.56,420.99,333.36,355.23,124.09,197.2,279.75
US NATIONAL CONSTRUCTION,832.76,440.41,791.71,573.43,504.29,496.02,517.9,302.8,143.48,292.62
Wesemann Feeds,776.16,383.82,735.11,516.84,458.23,464.63,486.47,299.61,97.42,362.34
Bazooka-Farmstar Inc,755.8,367,619.63,404.3,287.02,255.98,277.83,258.86,114.26,476.29
Buckingham Co-Operative Company,660.13,271.33,530.01,314.68,262.26,268.65,290.5,355.79,143,554.5
Clinton Feed & Grain,727.67,335.32,650.33,436.04,357.49,363.89,385.74,299.41,22.05,444.08
Dandea Enterprises Inc,694.8,275.53,570.07,354.74,315.89,322.29,344.14,328.96,90.56,509.46
Dunkerton Cooperative,628.19,235.85,528.36,323.71,299.03,305.43,327.28,355.33,140.41,552.14
East Central Iowa Cooperative,640.06,251.25,518.13,305.43,280.75,287.15,308.99,363.47,148.55,560.28
East Central Iowa Cooperative,639.78,247.33,540.26,322.94,298.27,304.66,326.51,344.86,129.94,541.67
Farmers Cooperative,622.69,233.88,473.93,258.6,230.22,236.62,258.46,408.14,195.35,606.85
Farmers Elevator & Exchange,747.15,358.35,588.7,373.37,203.55,203.59,225.44,277.89,177.71,497.22
Gold Eagle Cooperative,602.25,198.47,399.13,219.92,254.2,284.93,306.78,477.35,264.33,676.06
Gold Eagle Cooperative,635.52,225.96,432.41,239.75,230.72,251.47,273.32,448.66,235.64,647.37
Gold Eagle Cooperative,610.21,223.46,398.69,209.92,229.35,277.14,298.99,479.43,266.41,678.14
Gold-Eagle Cooperative,630.79,221.76,427.67,214.31,236.03,256.78,278.63,453.88,240.86,652.59
Heartland Cooperative,702.24,290.37,499.29,283.96,166.67,167.96,189.8,372.69,211.86,595.59
JUHL Feed Store,649.08,275.32,446.12,230.8,177.35,224.85,246.7,429.94,221.63,633.13
Liquid Grow Tri Oak,778.11,389.31,656.18,438.05,276.15,275.39,297.24,251.7,105.83,442
North Central Cooperative,600.74,211.93,436.98,223.62,260.32,266.72,288.56,444.09,231.07,642.79
Professional Cooperative,615.76,272.29,412.8,197.48,190.32,228.68,289.23,470.71,257.69,669.42
Pruess Elevator Inc,742.64,353.84,620.71,402.58,327.79,334.18,355.32,311.36,42.46,456.03
Quality AG Service,730.08,341.28,569.27,353.94,183.31,183.35,205.2,295.76,196.66,518.76
Reiff Grain & Feed Inc,774.21,385.41,615.75,400.43,229.64,228.87,250.72,250.51,141.69,469.84
Shellsburg Elevator,687.11,275.69,565.18,347.05,285.15,291.54,313.39,316.25,101.56,513.06
State Line Cooperative Elevator,569.77,188,366.65,198.16,242.47,282.69,331.44,511.89,298.89,710.59
Tama Benton Cooperative Company,668.01,279.21,546.08,327.44,268.91,275.3,297.15,344.31,129.61,541.12
Tri-States Grain Conditioning,521.17,200.76,318.06,170.41,221.38,305.19,357.96,557.42,344.4,756.13
Agassiz Valley Grain,217,186.07,328.74,330.18,463.69,547.5,600.26,783,534.98,910.17
All American Cooperative,525.94,133.59,460.88,338.71,388.94,395.34,417.19,471.01,230.6,630.67
All American Cooperative,522.67,130.32,443.08,320.92,371.15,377.55,399.39,457.32,242.4,654.13
All-American Cooperative Viola,525.94,133.59,460.88,338.71,388.94,395.34,417.19,471.01,230.6,630.67
Bellingham Fertilizer Plant,330.81,160.89,244.37,226.6,360.1,443.92,496.68,723.39,510.38,871.65
Bird Island Bean Company,395.13,101.3,304.09,248.09,345.33,429.14,491.37,623.46,410.44,822.16
C-W Valley Cooperative,213.77,195.53,314.14,315.59,449.1,532.91,585.67,848.56,544.43,919.62
C-W Valley Cooperative - Comstock Elevator,213.77,195.53,314.14,315.59,449.1,532.91,585.67,848.56,544.43,919.62
Canby Farmers Grain Company,919.62,177.37,235.8,197.95,331.45,415.27,468.03,730.92,476.8,888.53
Dawson Grain Cooperative,349.91,155.61,242.12,197.95,357.86,460.89,513.65,700.56,487.54,848.72
Elbow Lake Cooperative Grain Company,269.94,138.22,317.35,318.79,455.8,539.61,592.37,735.14,487.13,862.31
Farm Service Elevator,356.07,99.02,297.95,253.7,366.69,450.5,503.27,656.16,443.14,823.12
Farmers Cooperative of Hanska - Main Office - Hanska,453.28,128.51,353.79,231.62,316.72,400.54,401.95,577.14,364.12,775.85
Farmers Mill & Elevator Inc,461.68,72.88,441.59,316.12,390.13,396.53,418.37,525.47,296.48,697.04
Forsbergs Inc,295.84,266.62,445.53,446.98,580.48,664.3,717.06,873.18,618.9,994.08
Humboldt-St Vincent Elevator,314.09,369.49,486.03,487.48,620.99,704.8,757.56,1022.35,718.4,1093.59
K & S Millwrights Inc,410.93,89.96,318.37,261.73,353.39,437.2,483.24,615.32,402.3,774.92
Munson Lakes Nutrition,397.34,41.59,350.27,306.01,401.17,460.08,481.93,615.91,400.99,745.07
Prairie Grain Partners LLC,363.19,150.98,261.69,224.37,331.5,415.31,468.07,685.7,456.97,868.7
Prairie Lakes Cooperative Elevator,309.09,105.49,318.12,280.65,399.13,482.94,535.7,702.41,454.4,829.58
Prinsburg Farmers Cooperative,382.07,104.23,286,241.74,345.26,429.07,481.83,650.24,437.22,804.5
Profile Industries Inc,401.31,12.53,397.52,344.55,437.76,444.15,466,599.98,350.06,725.25
Rapat Corporation,216.79,199.96,356.04,357.49,491,574.81,627.57,796.89,548.87,924.06
Red River Grain Company,236.33,178,300.33,301.77,435.28,519.09,571.86,774.93,526.91,902.1
River Region Cooperative - Main Office,432.3,127.31,299.05,231.98,317.08,400.89,459.86,582.88,369.86,781.59
South Central Grain & Energy,406.15,93.89,313.58,256.94,348.6,432.42,482.57,614.66,401.64,813.37
UAS Service Corporation,216.79,199.96,356.04,357.49,491,574.81,627.57,796.89,548.87,924.06
Van AHN & CO Inc,297.46,109.08,328.19,297.32,416.35,500.16,573.92,706,457.98,833.17
Waconia Manufacturing,424.33,46.78,360.42,306.5,391.6,434.43,456.28,590.26,375.34,732.48
Western Consolidated Cooperative,323.74,138.13,267.64,249.87,402.59,486.41,539.17,704.2,491.18,862.23
Boyd Grain Inc,1105.81,702.54,1004.65,787.64,596.28,506.98,455.6,193.45,366.15,164.08
Riley Equipment Inc,1075.93,683.58,985.69,767.56,547.36,474.88,423.5,142.49,347.19,184.75
Agrex Inc,601.24,552.11,394.71,223.94,154.48,192.31,245.98,508.87,513.57,799.01
Batterton Waterproofing Inc,550.7,473.02,344.17,171.26,100.58,194.39,247.15,510.04,437.65,798.84
Central Valley AG,574.93,365.8,371.98,146.47,94.02,186.5,239.26,502.15,364,747.73
Cooperative Supply,516.15,392.73,312.32,118.58,132.62,225.1,277.86,540.75,402.6,786.33
Cooperative Supply Inc,584.17,374.76,339.73,145.23,101.1,193.58,246.34,509.23,371.08,754.81
Cooperative Supply Inc,584.17,374.76,339.73,145.23,101.1,193.58,246.34,509.23,371.08,754.81
Country Partners Cooperative,498.15,433.66,273.86,102.97,169.03,264.59,317.35,580.24,442.09,825.82
Country Partners Cooperative Company,482.22,451.42,275.69,120.62,181.57,282.34,335.11,597.99,459.85,843.57
Crossroads Cooperative Association,546.1,769.14,354.52,391.73,393.52,489.68,542.44,805.32,730.59,1091.13
Crossroads Cooperative Association,546.1,769.14,354.52,391.73,393.52,489.68,542.44,805.32,730.59,1091.13
CTEC Inc,550.7,473.02,344.17,171.26,100.58,194.39,247.15,510.04,437.65,798.84
Grain States Soya Inc,568.97,359.84,320.35,125.86,114.13,206.61,259.37,522.26,384.11,767.84
J E Meuret Grain Company,454,387.7,239.78,58.82,198.33,290.81,343.57,606.46,435.54,847.27
Kaapa Ethanol LLC,537.55,558.64,325.56,221.88,183.02,276.18,331.94,592.48,520.09,881.28
Kaapa Grains,502.18,569.93,295.65,231.94,194.31,287.46,343.23,603.76,531.38,892.56
Midwest Farmers Cooperative,646.79,433.88,443.83,228.5,34.1,128.92,181.68,444.57,374.92,733.37
Pride Grain,366.27,482.92,159.73,139,289.21,381.69,434.45,697.34,530.76,942.48
Shickley Grain CO Inc,592.07,507.47,383.53,210.35,122.62,190.04,242.81,505.7,468.92,794.5
Andersons Investment Service,1074.35,682.01,1033.3,823.89,723.07,688.66,706.69,465.05,376.78,202.1
Creamer Metal Products Inc,1168.9,776.56,1116.88,898.76,741.26,653.62,643.95,402.31,478.39,96.79
Deerfield Farms Service,1226.08,833.74,1185.03,975.62,874.8,823.1,813.44,571.8,528.51,263.88
Elgin Service Center,1027.76,635.42,986.71,777.3,676.47,655.45,677.32,438.07,330.19,214.1
Farmers Elevator Grain & SUPL,1070.14,677.79,1029.08,819.68,718.98,659.42,677.45,435.81,372.69,169.91
Gerald Grain Center,1059.19,666.85,1018.14,808.73,707.91,659.33,677.36,435.72,361.62,183.23
Hicksville Grain Company,1024.48,632.13,983.43,774.02,673.19,628.01,646.05,404.41,326.9,191.68
Jewell Grain Company,1053.67,661.32,1013.36,803.95,703.13,645.92,663.96,422.32,356.84,177.47
Keller Grain & Feed Inc,1104.98,712.64,1062.29,844.16,686.67,599.03,589.36,347.72,423.8,82.51
Pandora Grain & Supply,1077.43,685.08,1036.38,826.97,726.14,670.96,683.13,441.49,379.85,150.31
Scott Equity Exchange,1035.08,644.1,994.03,784.62,683.79,628.6,646.64,405,337.5,167.93
Bewley ConStruction LLC,971.76,646.92,768.8,553.47,328.61,239.31,184.25,243.35,457.76,573.1
Butterfield & Associates Grain Inc,818.08,432.23,615.13,399.8,174.93,87.3,109.17,232.9,310.98,524.22
Cameron Cooperative Elevator Association - Mill & Office,767.48,423.12,564.52,349.2,124.33,36.69,57.24,283.91,344.61,575.81
"Capital Electric Line Builders, Inc.",782.61,469.41,579.65,364.32,139.45,50.16,11.16,270.44,390.9,595.01
Centric Projects LLC,788.19,471.61,585.23,369.91,145.04,55.74,7.54,262.42,393.11,586.99
Feed Products & Service Co,1038.15,594.43,835.2,619.87,395,305.71,254.32,15.25,286.31,346.38
Glasgow MFA Agri Service,879.83,493.98,676.87,461.54,236.67,149.04,118.31,177.61,302.61,502.17
Home Matters Alliance LLC,1038.15,594.43,835.2,619.87,395,305.71,254.32,15.25,286.31,346.38
Infinite Energy Construction,788.19,471.61,585.23,369.91,145.04,55.74,7.54,262.42,393.11,586.99
K C Supply CO Inc,788.19,471.61,585.23,369.91,145.04,55.74,7.54,262.42,393.11,586.99
Lawson Agri Service,790.91,443.75,587.96,372.63,147.76,60.13,44.41,261.73,365.24,592.07
MFA Agri Svc-Lexington,823.86,476.25,620.9,405.57,180.71,93.07,57.32,232.24,397.75,556.81
Mill & Elevator Supply CO Inc,788.19,471.61,585.23,369.91,145.04,55.74,7.54,262.42,393.11,586.99
Pilot Grove Cooperative Elevator,887.14,539.86,684.18,468.85,243.98,154.69,103.3,172.52,335.1,497.09
Robertson Construction Inc,1001.89,558.23,798.93,583.61,358.74,269.44,218.06,56.53,284.18,377.19
Seed & Farm Supply,914.41,590.2,711.46,496.13,271.26,181.97,128.39,323.02,511.7,652.77
Twin Peaks Contracting Inc,1038.15,594.43,835.2,619.87,395,305.71,254.32,15.25,286.31,346.38
Unerstall Construction,1062.68,649.34,859.73,644.4,419.53,330.24,278.85,88.35,363.1,423.17
Whitley Construction Co LLC,810.02,485.18,607.07,391.74,166.87,77.58,26.36,260,406.68,584.57
Agassiz Seeds,186.03,217.21,333.26,334.71,468.22,552.03,604.79,867.68,565.63,941.31
Alton Grain Terminal,211.8,253.5,370.04,371.49,504.99,588.8,641.57,904.45,602.41,977.59
Bottineau Farmers Elevator,175.61,498.68,346.22,503.82,750.18,833.99,886.75,1149.64,847.59,1222.78
Cando Farmers Grain & Oil Cooperative - Elevator,187.42,410.72,350.46,427.67,662.22,746.03,798.79,1061.68,759.63,1134.82
Central Valley Bean Cooperative,225.99,267.48,384.02,385.47,518.98,602.79,655.55,918.44,616.39,991.58
Dakota Dry Bean Inc,190.6,365.35,353.65,399.86,616.85,700.66,753.42,1016.31,714.26,1089.45
Effertz Key Ranch Inc,102.39,454.71,294.19,451.8,706.08,789.89,842.66,1105.54,803.62,1178.81
Farmers Union Elevator,36.58,434.69,241.66,431.78,686.06,769.87,822.64,1085.52,783.6,1158.79
Finley Farmers Grain Company,181.62,293.47,332.57,411.46,544.96,628.78,681.54,944.43,642.38,1017.57
Fordville CO Op Marketing Association,232.56,337.22,383.5,455.21,588.71,672.52,725.29,988.17,686.13,1061.31
Gutter Topper OF North Dakota,68.39,466.63,273.6,463.71,718,801.81,854.57,1117.46,815.54,1190.72
Harvey Farmers Elevator,112.32,404.15,275.37,401.23,655.52,739.33,792.09,1054.98,753.06,1128.24
James Valley Grain,182.85,247.52,226.41,243.4,459.64,543.45,596.21,859.1,668.83,971.62
Lorrich Industries Inc,239.48,406.97,402.5,469.51,658.46,742.27,795.04,1057.92,755.88,1131.06
Maple River Grain & Agronomy,172.95,232.09,323.05,349.95,483.46,567.27,620.04,882.92,581,956.19
Martin Construction Inc,101.26,499.38,285.81,496.47,750.75,834.56,887.32,1150.21,848.29,1223.47
Mayport Farmers Cooperative,202.54,272.67,355.8,390.66,524.17,607.98,660.74,923.63,621.58,996.77
Powers Lake Elevator Company,183.72,549.85,388.93,546.96,801.25,885.06,937.82,1200.71,898.79,1273.97
Reynolds United Cooperative,231.34,272.84,389.38,390.83,524.33,608.15,660.91,923.8,621.75,996.93
Reynolds United Cooperative,225.99,267.48,384.02,385.47,518.98,602.79,655.55,918.44,616.39,991.58
South Central Grain,75.38,355.35,172.8,333.47,563.11,646.93,699.69,962.58,704.26,1079.44
Wanzek Construction Inc,186.03,217.21,333.26,334.71,468.22,552.03,604.79,867.68,565.63,941.31
Woody's Feed & Grain,101.26,499.38,285.81,496.47,750.75,834.56,887.32,1150.21,848.29,1223.47
A G Partners Cooperative Inc,721.88,493.92,518.92,303.6,71.09,41.08,94.76,357.65,415.41,647.79
Agmark,639.8,594.18,431.26,268.99,193.39,202.4,211.23,476.17,555.63,800.74
"Beachner Grain Inc - Elevator, St Paul Elevator",923.53,613.92,720.57,505.25,256.35,191.08,137.51,360.97,535.41,683.26
Continental Agra Grain Equipment,772.78,656.93,564.25,388.54,245.63,198.42,182.56,442.68,578.42,767.25
Cooperative Elevator & Supply Company,764.61,848.66,558.08,531.4,433.66,390.15,374.29,631.72,770.16,956.29
Cornerstone Agency LLC,614.62,718.38,408.09,394.13,342.76,380.71,369.5,634.44,684.81,959.01
Countryside Feed LLC,767.99,641.25,559.46,383.76,229.95,182.74,166.88,427,562.75,751.57
Delphos Cooperative Association Elevator,667,588.1,458.47,290.98,187.31,194.35,204.99,469.93,549.55,794.5
Diversified Inc.,771.57,540.61,568.61,353.29,119.78,79.74,66.24,331.17,462.1,655.74
Farmers CO Op Elevator,797.21,688.35,588.69,412.98,277.04,229.83,213.97,474.94,609.84,799.51
Farmers Cooperative,805.89,696.12,597.36,421.65,284.82,237.61,221.75,482.71,617.62,807.28
Farmers Cooperative Elevator,772.88,668.93,564.36,388.65,257.62,210.41,194.55,454.68,590.42,779.24
Fowler Equity EXCH FERT Department,757.82,830.86,551.29,511.48,415.85,372.34,356.48,613.92,752.35,938.49
Golden Belt Cooperative Association Inc,636.39,689.17,424.4,366.2,303.45,275.01,263.8,528.74,659.67,853.31
Heartland Mills Inc,688.55,792.23,482.02,469.26,419.67,393.85,382.64,647.58,756.74,972.15
Hi-Plains Cooperative Association Inc,614.62,718.38,408.09,394.13,342.76,380.71,369.5,634.44,684.81,959.01
Johnson Cooperative Grain Company,804.91,498.14,601.95,386.63,161.76,72.47,24.33,287.16,419.63,611.73
L Conat Construction,742.48,772.21,530.49,478.64,383.01,342.97,335.73,595.85,731.59,920.42
Lighthouse Renovation & Repair,801.34,484.84,598.38,383.06,158.19,68.9,11.04,276.18,406.34,600.75
Mc Cune Farmers Cooperative Association,905.2,595.59,702.25,486.92,262.05,172.76,119.18,326.14,517.09,655.89
Mc Donald Commodities,807.16,487.72,604.2,388.88,164.01,74.71,13.18,271.77,409.21,596.34
Meade Cooperative South,764.61,848.66,558.08,531.4,433.66,390.15,374.29,631.72,770.16,956.29
MGP Ingredients Inc,757.38,477.28,554.43,339.1,114.23,20.36,54.64,315.35,398.77,631.16
Mid Continent Industries,772.78,656.93,564.25,388.54,245.63,198.42,182.56,442.68,578.42,767.25
Minneola Cooperative Inc,763.51,819.04,551.52,499.67,404.04,360.53,344.67,602.1,740.53,926.67
OK Company Op Grain Company,736.77,780.92,524.78,481.29,369.61,322.4,306.54,563.98,702.41,888.54
Opp Concrete,799.53,669.9,591.01,415.3,258.59,211.38,195.52,456.49,591.39,781.06
Pawnee County Cooperative Association,698.34,711.46,486.35,425.63,322.26,282.22,271.01,535.95,666.88,860.52
Premier Construction Service Inc,808.81,673.6,600.28,424.57,262.29,215.08,199.22,460.19,595.09,784.76
Pro-Ag Marketing,591.96,614.5,379.98,277.75,219.15,228.14,281.3,544.7,575.95,834.84
Sherwood Construction Co Inc,799.53,669.9,591.01,415.3,258.59,211.38,195.52,456.49,591.39,781.06
Southern Plains Cooperative,713.47,764.87,501.48,447.33,343.96,306.36,290.5,550.62,686.37,875.19
Stafford County Flour Mills,720.13,703.11,508.15,417.28,313.91,273.87,262.66,522.47,658.53,852.17
Steinlite Corporation,757.38,477.28,554.43,339.1,114.23,20.36,54.64,315.35,398.77,631.16
United Prairie Agency LLC,727.46,834.2,520.93,511.23,446.74,406.71,395.5,686.5,791.37,985.01
Wildcat Construction Co Inc,799.53,669.9,591.01,415.3,258.59,211.38,195.52,456.49,591.39,781.06
Woofter Construction & Irrigation,614.62,718.38,408.09,394.13,342.76,380.71,369.5,634.44,684.81,959.01
Dakota Plains AG Center,365.65,345.39,175.87,33.94,276.06,359.88,412.64,675.53,485.26,896.98
Farmers Cooperative Elevator,266.26,176.69,265.89,267.33,400.84,484.65,537.42,800.3,525.6,900.78
Harrold Grain Co LLC,206.48,363.02,34.69,194.94,436.21,520.02,572.78,835.67,645.4,1057.13
Madison Farmers Elevator Company,361.61,253.48,176.01,110.39,275.62,359.43,412.19,675.08,484.81,896.54
Southeast Farmers Elevator,463.96,306.32,286,70.67,164.62,248.43,301.19,564.08,373.81,785.54
